price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
13300000.00,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished
12250000.00,8960,4,4,4,yes,no,no,no,yes,3,no,furnished
12250000.00,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished
12215000.00,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished
11410000.00,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished
10850000.00,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished
10150000.00,8580,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished
10150000.00,16200,5,3,2,yes,no,no,no,no,0,no,unfurnished
9870000.00,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished
9800000.00,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished
9800000.00,13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished
9681000.00,6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished
9310000.00,6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished
9240000.00,3500,4,2,2,yes,no,no,yes,no,2,no,furnished
9240000.00,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished
9100000.00,6000,4,1,2,yes,no,yes,no,no,2,no,semi-furnished
9100000.00,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished
8960000.00,8500,3,2,4,yes,no,no,no,yes,2,no,furnished
,4600,3,2,2,yes,yes,no,no,yes,2,no,furnished
8855000.00,6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished
8750000.00,4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished
8680000.00,7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished
8645000.00,8050,3,1,1,yes,yes,yes,no,yes,1,no,furnished
8645000.00,4560,3,2,2,yes,yes,yes,no,yes,1,no,furnished
8575000.00,8800,3,2,2,yes,no,no,no,yes,2,no,furnished
8540000.00,6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished
8463000.00,6000,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished
8400000.00,8875,3,1,1,yes,no,no,no,no,1,no,semi-furnished
8400000.00,7950,5,2,2,yes,no,yes,yes,no,2,no,unfurnished
8400000.00,5500,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished
8400000.00,7475,3,2,4,yes,no,no,no,yes,2,no,unfurnished
8400000.00,7000,3,1,4,yes,no,no,no,yes,2,no,semi-furnished
8295000.00,4880,4,2,2,yes,no,no,no,yes,1,yes,furnished
8190000.00,5960,3,3,2,yes,yes,yes,no,no,1,no,unfurnished
8120000.00,6840,5,1,2,yes,yes,yes,no,yes,1,no,furnished
8080940.00,7000,3,2,4,yes,no,no,no,yes,2,no,furnished
8043000.00,7482,3,2,3,yes,no,no,yes,no,1,yes,furnished
7980000.00,9000,4,2,4,yes,no,no,no,yes,2,no,furnished
7962500.00,6000,3,1,4,yes,yes,no,no,yes,2,no,unfurnished
7910000.00,6000,4,2,4,yes,no,no,no,yes,1,no,semi-furnished
7875000.00,6550,3,1,2,yes,no,yes,no,yes,0,yes,furnished
7840000.00,6360,3,2,4,yes,no,no,no,yes,0,yes,furnished
7700000.00,6480,3,2,4,yes,no,no,no,yes,2,no,unfurnished
7700000.00,6000,4,2,4,yes,no,no,no,no,2,no,semi-furnished
7560000.00,6000,4,2,4,yes,no,no,no,yes,1,no,furnished
7560000.00,6000,3,2,3,yes,no,no,no,yes,0,no,semi-furnished
7525000.00,6000,3,2,4,yes,no,no,no,yes,1,no,furnished
7490000.00,6600,3,1,4,yes,no,no,no,yes,3,yes,furnished
7455000.00,4300,3,2,2,yes,no,yes,no,no,1,no,unfurnished
7420000.00,7440,3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished
7420000.00,7440,3,2,4,yes,no,no,no,no,1,yes,unfurnished
7420000.00,6325,3,1,4,yes,no,no,no,yes,1,no,unfurnished
7350000.00,6000,4,2,4,yes,yes,no,no,yes,1,no,furnished
7350000.00,5150,3,2,4,yes,no,no,no,yes,2,no,semi-furnished
,6000,3,2,2,yes,yes,no,no,yes,1,no,semi-furnished
7350000.00,6000,3,1,2,yes,no,no,no,yes,1,no,unfurnished
7343000.00,11440,4,1,2,yes,no,yes,no,no,1,yes,semi-furnished
7245000.00,9000,4,2,4,yes,yes,no,no,yes,1,yes,furnished
7210000.00,7680,4,2,4,yes,yes,no,no,yes,1,no,semi-furnished
7210000.00,6000,3,2,4,yes,yes,no,no,yes,1,no,furnished
7140000.00,6000,3,2,2,yes,yes,no,no,no,1,no,semi-furnished
7070000.00,8880,2,1,1,yes,no,no,no,yes,1,no,semi-furnished
7070000.00,6240,4,2,2,yes,no,no,no,yes,1,no,furnished
7035000.00,6360,4,2,3,yes,no,no,no,yes,2,yes,furnished
7000000.00,11175,3,1,1,yes,no,yes,no,yes,1,yes,furnished
6930000.00,8880,3,2,2,yes,no,yes,no,yes,1,no,furnished
6930000.00,13200,2,1,1,yes,no,yes,yes,no,1,no,furnished
6895000.00,7700,3,2,1,yes,no,no,no,no,2,no,unfurnished
6860000.00,6000,3,1,1,yes,no,no,no,yes,1,no,furnished
6790000.00,12090,4,2,2,yes,no,no,no,no,2,yes,furnished
6790000.00,4000,3,2,2,yes,no,yes,no,yes,0,yes,semi-furnished
6755000.00,6000,4,2,4,yes,no,no,no,yes,0,no,unfurnished
6720000.00,5020,3,1,4,yes,no,no,no,yes,0,yes,unfurnished
6685000.00,6600,2,2,4,yes,no,yes,no,no,0,yes,furnished
6650000.00,4040,3,1,2,yes,no,yes,yes,no,1,no,furnished
6650000.00,4260,4,2,2,yes,no,no,yes,no,0,no,semi-furnished
6650000.00,6420,3,2,3,yes,no,no,no,yes,0,yes,furnished
6650000.00,6500,3,2,3,yes,no,no,no,yes,0,yes,furnished
6650000.00,5700,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
6650000.00,6000,3,2,3,yes,yes,no,no,yes,0,no,furnished
6629000.00,6000,3,1,2,yes,no,no,yes,no,1,yes,semi-furnished
6615000.00,4000,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished
